iter	Logloss
0	0.6868967691
1	0.6806829298
2	0.6751979931
3	0.6691234409
4	0.6633567665
5	0.6584568846
6	0.6532354888
7	0.6487768971
8	0.644328341
9	0.6401517481
10	0.6361847015
11	0.6317366984
12	0.6275091096
13	0.6236074506
14	0.6202370529
15	0.6165351373
16	0.6133282492
17	0.6096240122
18	0.6069134066
19	0.6038910465
20	0.6009209018
21	0.5981703697
22	0.5954591615
23	0.5927764852
24	0.5902649896
25	0.5877211307
26	0.5851990779
27	0.582924181
28	0.5804186904
29	0.5781626057
30	0.5761025275
31	0.5739179284
32	0.5718280636
33	0.5701228634
34	0.5684019543
35	0.5666763188
36	0.5650129627
37	0.563300196
38	0.5615698045
39	0.5601697524
40	0.5585381347
41	0.5572362957
42	0.5558258656
43	0.5543535589
44	0.5530518005
45	0.551748472
46	0.550519491
47	0.5492590311
48	0.5481640294
49	0.547066165
50	0.5459693104
51	0.5449334183
52	0.5437212259
53	0.5428457095
54	0.5419145807
55	0.5407417681
56	0.5399027686
57	0.5388102903
58	0.5379578795
59	0.5371461597
60	0.5361257982
61	0.5351717816
62	0.5342724144
63	0.5334484754
64	0.5324423425
65	0.5315920012
66	0.5306684766
67	0.530002261
68	0.5294120495
69	0.528626363
70	0.5279816158
71	0.5273901141
72	0.5268103754
73	0.5261812362
74	0.5257551592
75	0.5250444498
76	0.5244166315
77	0.5238227954
78	0.5231689768
79	0.5226128538
80	0.5220940384
81	0.5215030389
82	0.5208606081
83	0.5203388055
84	0.5199108556
85	0.5193794865
86	0.5188593494
87	0.5182717584
88	0.5178653191
89	0.5174474026
90	0.516975669
91	0.5165120646
92	0.5160298647
93	0.5154893088
94	0.5150560544
95	0.514729441
96	0.5144808199
97	0.514045032
98	0.5136636856
99	0.5133327525
100	0.5129607521
101	0.5124689708
102	0.5120742806
103	0.5117593132
104	0.5113922133
105	0.510840303
106	0.5105022067
107	0.5100533413
108	0.5095778601
109	0.5091695215
110	0.5088039508
111	0.5086261155
112	0.5081439436
113	0.5078987062
114	0.507443544
115	0.5070909022
116	0.5068323153
117	0.5064617155
118	0.5060838179
119	0.5057803415
120	0.5054475604
121	0.5051512456
122	0.5047933611
123	0.5044368605
124	0.5041447847
125	0.5037962753
126	0.5033588405
127	0.5029916175
128	0.5026516111
129	0.5022994688
130	0.5019658361
131	0.5016976256
132	0.5014013147
133	0.5010991483
134	0.5007003399
135	0.5005437919
136	0.500217324
137	0.4999887244
138	0.4997751597
139	0.4994789993
140	0.4991413062
141	0.4988786829
142	0.4986698357
143	0.4984742238
144	0.4981686364
145	0.4978963962
146	0.4975822794
147	0.4973363045
148	0.4971309194
149	0.4967272876
150	0.496458364
151	0.4961370539
152	0.4958748643
153	0.4956565661
154	0.4953623586
155	0.4951109995
156	0.494926692
157	0.4947414965
158	0.4945055911
159	0.4941793565
160	0.4939339808
161	0.4936641271
162	0.4934179505
163	0.4932014185
164	0.492899397
165	0.4926661425
166	0.4924132382
167	0.4922075423
168	0.4920376309
169	0.4917352038
170	0.4914976646
171	0.4912196351
172	0.4909205121
173	0.490680703
174	0.4904889424
175	0.4902444299
176	0.4901085497
177	0.4899710881
178	0.4897110897
179	0.4894996118
180	0.4893208053
181	0.4892074803
182	0.4889362732
183	0.4887323113
184	0.4884387442
185	0.4882347269
186	0.488023383
187	0.4877895783
188	0.487502069
189	0.4873314953
190	0.4871983955
191	0.4870047609
192	0.4868010182
193	0.4866516616
194	0.4864787262
195	0.4863130076
196	0.4860862075
197	0.4858525946
198	0.4856317793
199	0.4854603343
200	0.4852152086
201	0.4848988542
202	0.4847389836
203	0.4846173919
204	0.4843262487
205	0.4841637826
206	0.4839502184
207	0.4837076299
208	0.48352844
209	0.4834027522
210	0.4831882893
211	0.4830551593
212	0.482887353
213	0.4827310269
214	0.4826233216
215	0.4825377177
216	0.4823952385
217	0.4821912403
218	0.4820308825
219	0.481827188
220	0.4815810842
221	0.4813261176
222	0.4811064943
223	0.4809727034
224	0.4808120963
225	0.4806393312
226	0.4805419388
227	0.4803887507
228	0.4802776102
229	0.4801904602
230	0.4799199514
231	0.4796654708
232	0.4794708271
233	0.479172953
234	0.4788835815
235	0.4788114173
236	0.4786231937
237	0.4784198072
238	0.4782664132
239	0.4781228191
240	0.4779310709
241	0.4776454439
242	0.4775103029
243	0.4773009654
244	0.4771080598
245	0.477011227
246	0.4767982297
247	0.4766385431
248	0.4763218617
249	0.4761420348
250	0.4759769999
251	0.4758463436
252	0.4757517303
253	0.4756270351
254	0.4754753515
255	0.4753128351
256	0.4750514012
257	0.4749145398
258	0.4747410688
259	0.4745577589
260	0.4743020857
261	0.4740765972
262	0.4738678261
263	0.4736452549
264	0.4735081764
265	0.4734254578
266	0.473270315
267	0.4730886014
268	0.4729964405
269	0.4727693225
270	0.4726431505
271	0.4724898702
272	0.4722839807
273	0.4720727703
274	0.4718871369
275	0.471760764
276	0.4716400649
277	0.4714010089
278	0.4713243143
279	0.4711688204
280	0.4710682515
281	0.470940514
282	0.47075786
283	0.4706078721
284	0.4703365725
285	0.4701742217
286	0.4700346979
287	0.4699323036
288	0.4697897858
289	0.4695499734
290	0.4694228666
291	0.4693277248
292	0.4692175866
293	0.4690866079
294	0.4689937199
295	0.4688200684
296	0.4686136075
297	0.4684329419
298	0.4681425022
299	0.4680235421
300	0.4679028042
301	0.4676509288
302	0.4674926081
303	0.4673769635
304	0.4671934829
305	0.4670066158
306	0.4668391695
307	0.4667584574
308	0.4664594998
309	0.4662562385
310	0.4661040212
311	0.4659927217
312	0.4658719879
313	0.4657767099
314	0.4654773236
315	0.4652832167
316	0.4650771179
317	0.4648711063
318	0.4647623277
319	0.4646157482
320	0.4644958533
321	0.4642745122
322	0.4640820366
323	0.4639760432
324	0.4638737032
325	0.4637224222
326	0.4635633558
327	0.4633664034
328	0.4632612596
329	0.4631275468
330	0.4629697138
331	0.4627770881
332	0.4625829372
333	0.4624036457
334	0.4623156674
335	0.4621339258
336	0.4619048153
337	0.4617744648
338	0.4616344348
339	0.4615461691
340	0.4613984496
341	0.4611445136
342	0.4609863738
343	0.4608303597
344	0.4606661063
345	0.4605316594
346	0.4604321202
347	0.4603504703
348	0.460157292
349	0.4600258596
350	0.4598358345
351	0.4596136936
352	0.4594337284
353	0.4593021473
354	0.4590968238
355	0.4590154519
356	0.4589227174
357	0.4587599582
358	0.4585480923
359	0.4583959815
360	0.4581567492
361	0.4580105316
362	0.4579055916
363	0.4578248113
364	0.4577365285
365	0.457583008
366	0.4575371921
367	0.4573968865
368	0.4571762577
369	0.4568503789
370	0.4566380525
371	0.4564561124
372	0.4563727345
373	0.4562697924
374	0.4561217476
375	0.4559398973
376	0.4557482724
377	0.4555647411
378	0.4554537256
379	0.4551959716
380	0.4550232319
381	0.4548440319
382	0.4547199036
383	0.4545345817
384	0.4543086626
385	0.4541055119
386	0.4539718238
387	0.4537980307
388	0.4536119225
389	0.4533927071
390	0.4532783768
391	0.4530516916
392	0.4528506446
393	0.4527294451
394	0.4526505455
395	0.4525180311
396	0.4523160916
397	0.4521835827
398	0.4520300798
399	0.451892565
400	0.4517052931
401	0.4516678348
402	0.4514787936
403	0.4512364192
404	0.4511356158
405	0.4510476923
406	0.4508549028
407	0.4507033135
408	0.4505251862
409	0.4503688175
410	0.450179103
411	0.4499211572
412	0.4497849621
413	0.4497153091
414	0.4496102381
415	0.4494111313
416	0.4491891663
417	0.4490146389
418	0.4487929742
419	0.448615226
