iter	Passed	Remaining
0	225	225248
1	424	211621
2	600	199718
3	783	195183
4	971	193262
5	1150	190607
6	1337	189722
7	1510	187268
8	1682	185219
9	1851	183306
10	2028	182425
11	2191	180442
12	2355	178822
13	2519	177459
14	2682	176154
15	2847	175103
16	3021	174724
17	3203	174744
18	3364	173730
19	3522	172578
20	3691	172088
21	3849	171149
22	4013	170480
23	4196	170667
24	4439	173155
25	4637	173726
26	4982	179560
27	5274	183101
28	5537	185420
29	5791	187249
30	6026	188381
31	6261	189420
32	6488	190141
33	6712	190726
34	6924	190916
35	7138	191147
36	7347	191235
37	7584	192009
38	7807	192397
39	8019	192479
40	8240	192745
41	8446	192665
42	8661	192758
43	8876	192865
44	9107	193283
45	9328	193472
46	9540	193448
47	9763	193651
48	9980	193700
49	10184	193505
50	10401	193554
51	10617	193562
52	10839	193675
53	11043	193472
54	11285	193898
55	11550	194705
56	11784	194953
57	12015	195145
58	12216	194838
59	12453	195111
60	12664	194947
61	12868	194692
62	13097	194795
63	13296	194466
64	13517	194450
65	13725	194239
66	13942	194152
67	14158	194061
68	14377	193997
69	14589	193835
70	14807	193752
71	15019	193586
72	15217	193247
73	15422	192987
74	15640	192902
75	15847	192676
76	16049	192386
77	16255	192147
78	16452	191807
79	16643	191404
80	16856	191250
81	17090	191326
82	17290	191034
83	17493	190761
84	17689	190422
85	17909	190345
86	18112	190077
87	18337	190038
88	18554	189926
89	18760	189685
90	18976	189559
91	19199	189487
92	19372	188936
93	19536	188298
94	19727	187934
95	20001	188344
96	20253	188542
97	20492	188615
98	20759	188927
99	20962	188664
100	21186	188577
101	21440	188759
102	21674	188753
103	21885	188556
104	22097	188350
105	22302	188098
106	22514	187900
107	22741	187831
108	22963	187712
109	23173	187491
110	23383	187282
111	23590	187036
112	23810	186901
113	24027	186741
114	24246	186595
115	24470	186479
116	24687	186314
117	24902	186134
118	25132	186063
119	25345	185863
120	25566	185729
121	25779	185530
122	26000	185388
123	26219	185231
124	26425	184976
125	26642	184805
126	26850	184573
127	27063	184368
128	27300	184328
129	27519	184168
130	27757	184128
131	27987	184040
132	28215	183934
133	28461	183940
134	28732	184100
135	28952	183932
136	29163	183708
137	29386	183557
138	29605	183383
139	29839	183302
140	30058	183122
141	30269	182894
142	30471	182615
143	30684	182403
144	30899	182198
145	31111	181982
146	31322	181753
147	31523	181475
148	31741	181289
149	31956	181087
150	32170	180878
151	32393	180722
152	32598	180464
153	32814	180266
154	33026	180049
155	33233	179801
156	33450	179611
157	33669	179426
158	33868	179140
159	34089	178970
160	34376	179141
161	34553	178741
162	34724	178309
163	34895	177880
164	35209	178183
165	35453	178122
166	35695	178048
167	35923	177904
168	36126	177638
169	36361	177529
170	36555	177217
171	36788	177096
172	37006	176905
173	37210	176645
174	37415	176386
175	37636	176208
176	37860	176039
177	38056	175743
178	38268	175521
179	38474	175272
180	38699	175112
181	38927	174961
182	39149	174781
183	39348	174503
184	39555	174257
185	39772	174056
186	39994	173879
187	40202	173640
188	40410	173402
189	40615	173148
190	40828	172932
191	41124	173065
192	41399	173106
193	41676	173150
194	41916	173041
195	42114	172755
196	42351	172629
197	42565	172411
198	42783	172209
199	42987	171948
200	43195	171707
201	43394	171428
202	43591	171145
203	43811	170950
204	44014	170689
205	44227	170467
206	44435	170228
207	44647	170003
208	44859	169780
209	45082	169595
210	45297	169381
211	45488	169081
212	45690	168820
213	45905	168605
214	46101	168324
215	46318	168118
216	46511	167828
217	46723	167605
218	46932	167370
219	47136	167121
220	47349	166902
221	47543	166615
222	47723	166283
223	47924	166024
224	48132	165788
225	48341	165560
226	48543	165303
227	48743	165045
228	48950	164807
229	49154	164561
230	49358	164315
231	49562	164067
232	49730	163706
233	49898	163342
234	50088	163052
235	50372	163068
236	50579	162836
237	50784	162596
238	51002	162396
239	51211	162170
240	51430	161974
241	51643	161758
242	51861	161559
243	52066	161322
244	52318	161227
245	52539	161035
246	52762	160851
247	52983	160658
248	53219	160513
249	53446	160338
250	53675	160169
251	53882	159938
252	54095	159721
253	54330	159568
254	54545	159358
255	54749	159115
256	54942	158842
257	55168	158663
258	55398	158494
259	55599	158244
260	55797	157987
261	56004	157753
262	56213	157524
263	56415	157279
264	56609	157011
265	56812	156769
266	57049	156619
267	57263	156407
268	57468	156167
269	57671	155927
270	57896	155744
271	58116	155546
272	58306	155270
273	58516	155047
274	58732	154841
275	58924	154570
276	59138	154358
277	59341	154117
278	59547	153884
279	59744	153629
280	59943	153379
281	60154	153159
282	60367	152946
283	60590	152755
284	60809	152557
285	61035	152375
286	61247	152159
287	61460	151943
288	61674	151733
289	61885	151512
290	62113	151334
291	62332	151135
292	62542	150913
293	62751	150688
294	62967	150482
295	63172	150249
296	63382	150026
297	63601	149825
298	63813	149610
299	64034	149413
300	64238	149179
301	64450	148962
302	64666	148753
303	64867	148513
304	65034	148192
305	65184	147836
306	65407	147647
307	65681	147570
308	65910	147391
309	66119	147168
310	66338	146968
311	66555	146764
312	66791	146600
313	66993	146361
314	67203	146141
315	67428	145952
316	67659	145777
317	67883	145585
318	68094	145368
319	68311	145160
320	68523	144944
321	68736	144730
322	68944	144505
323	69166	144310
324	69395	144128
325	69607	143912
326	69819	143695
327	70052	143522
328	70267	143312
329	70516	143169
330	70722	142941
331	70938	142731
332	71167	142549
333	71387	142347
334	71673	142276
335	71903	142095
336	72106	141859
337	72336	141676
338	72541	141444
339	72754	141230
340	72971	141021
341	73184	140806
342	73401	140597
343	73624	140400
344	73829	140168
345	74038	139945
346	74248	139724
347	74463	139512
348	74671	139287
349	74891	139083
350	75097	138855
351	75321	138659
352	75575	138519
353	75843	138403
354	76060	138194
355	76267	137966
356	76504	137794
357	76728	137596
358	76952	137400
359	77220	137281
360	77421	137043
361	77628	136814
362	77833	136584
363	78065	136399
364	78277	136181
365	78486	135957
366	78682	135711
367	78877	135463
368	79088	135243
369	79300	135025
370	79496	134780
371	79728	134594
372	79920	134343
373	80134	134129
374	80320	133867
375	80499	133595
376	80790	133508
377	81042	133354
378	81254	133137
379	81477	132937
380	81677	132699
381	81885	132474
382	82101	132263
383	82316	132048
384	82510	131802
385	82733	131602
386	82943	131380
387	83157	131165
388	83369	130948
389	83573	130718
390	83799	130521
391	84021	130318
392	84237	130106
393	84462	129908
394	84691	129717
395	84918	129522
396	85177	129375
397	85408	129185
398	85635	128990
399	85854	128781
400	86075	128576
401	86282	128351
402	86493	128129
403	86720	127933
404	86920	127697
405	87118	127459
406	87343	127260
407	87546	127028
408	87783	126846
409	87997	126630
410	88218	126424
411	88424	126198
412	88655	126006
413	88871	125793
