iter	Logloss
0	0.6766666989
1	0.6618549507
2	0.6481756234
3	0.6357233901
4	0.6256167986
5	0.6151009856
6	0.6055533023
7	0.5978746655
8	0.5901314324
9	0.583574983
10	0.5784889942
11	0.5728633648
12	0.56793087
13	0.5635374306
14	0.558950412
15	0.5546554526
16	0.551069988
17	0.5476063839
18	0.5446294194
19	0.5424936159
20	0.5398966879
21	0.5374135593
22	0.535561695
23	0.5333069918
24	0.5316400634
25	0.5298235154
26	0.5283267806
27	0.5269989353
28	0.5255480566
29	0.5240513741
30	0.5226801273
31	0.5215024942
32	0.5202238916
33	0.5192953125
34	0.5182275898
35	0.5169808528
36	0.5156957645
37	0.5148073665
38	0.5141272148
39	0.513249372
40	0.5124692912
41	0.5116927658
42	0.5110489625
43	0.5101748981
44	0.509615201
45	0.5089162745
46	0.5082862283
47	0.5076553115
48	0.5071852864
49	0.5066302333
50	0.5059892845
51	0.505371286
52	0.5048187963
53	0.5040937675
54	0.5035659873
55	0.5029616618
56	0.5022598177
57	0.501713347
58	0.5012407482
59	0.5004863316
60	0.4998782735
61	0.4991323809
62	0.4986670323
63	0.4980189445
64	0.4973232074
65	0.4969499392
66	0.4962738017
67	0.4958852269
68	0.4956183044
69	0.4952539472
70	0.4947307595
71	0.4942858225
72	0.49391535
73	0.493402965
74	0.4928254546
75	0.4924646131
76	0.4921492669
77	0.491838271
78	0.4915164084
79	0.4910563272
80	0.4905532332
81	0.4899149073
82	0.4893249493
83	0.4886730915
84	0.4881299698
85	0.4877653605
86	0.4871976158
87	0.4868316104
88	0.486150004
89	0.4858090942
90	0.4852214202
91	0.4848795845
92	0.4844826752
93	0.4839175982
94	0.4835767853
95	0.4832671715
96	0.482879535
97	0.4825225817
98	0.4823107091
99	0.4820486605
100	0.4816768338
101	0.4812668394
102	0.4808749006
103	0.4804418394
104	0.4802396803
105	0.4798245823
106	0.4793393924
107	0.4790316444
108	0.4788478518
109	0.4785200944
110	0.4781710173
111	0.4777929179
112	0.4774182582
113	0.4769792421
114	0.4765807003
115	0.4762262192
116	0.4758535116
117	0.4756065368
118	0.4753476789
119	0.4749842224
120	0.4747389586
121	0.4743251396
122	0.4738683798
123	0.4735639972
124	0.4733112651
125	0.4729768972
126	0.4727017946
127	0.4724059743
128	0.4720744643
129	0.4715665835
130	0.4713425342
131	0.4709528956
132	0.470596728
133	0.4700909661
134	0.4697067551
135	0.4694678502
136	0.4691393876
137	0.4689552391
138	0.4686503828
139	0.4684214775
140	0.4681883133
141	0.4675482065
142	0.4673287107
143	0.4666481533
144	0.4662163144
145	0.4658565564
146	0.4656386517
147	0.4651865804
148	0.4649119716
149	0.4646183023
150	0.4642592832
151	0.4640118714
152	0.4636724592
153	0.4632661813
154	0.4630232829
155	0.4627644585
156	0.4623604181
157	0.461872654
158	0.4614215955
159	0.4611506704
160	0.4609936394
161	0.4605928865
162	0.4600189514
163	0.4597653154
164	0.4592133859
165	0.4589244349
166	0.4585581074
167	0.4581247595
168	0.4578108822
169	0.4573892972
170	0.4571175232
171	0.4566417514
172	0.4563644378
173	0.4558708327
174	0.4555804784
175	0.4548760344
176	0.4544725751
177	0.4541978471
178	0.4537728947
179	0.4534739114
180	0.4529298181
181	0.4523320521
182	0.4520294999
183	0.4517027141
184	0.4514670446
185	0.4511485061
186	0.4506770628
