iter	Passed	Remaining
0	5	5810
1	11	5800
2	16	5576
3	22	5478
4	27	5430
5	33	5467
6	39	5600
7	45	5603
8	50	5599
9	56	5593
10	63	5672
11	70	5783
12	76	5818
13	84	5924
14	92	6053
15	100	6169
16	107	6225
17	114	6242
18	121	6277
19	129	6325
20	136	6378
21	146	6492
22	154	6553
23	163	6648
24	172	6722
25	180	6744
26	189	6843
27	198	6895
28	207	6939
29	215	6975
30	224	7005
31	232	7025
32	239	7022
33	247	7035
34	255	7039
35	261	7011
36	269	7020
37	276	6998
38	283	6977
39	290	6960
40	297	6951
41	303	6919
42	309	6889
43	315	6864
44	321	6832
45	330	6844
46	337	6849
47	344	6827
48	355	6897
49	365	6940
50	375	6995
51	385	7026
52	392	7010
53	399	6990
54	406	6980
55	412	6946
56	418	6921
57	424	6893
58	430	6866
59	436	6837
60	442	6808
61	448	6784
62	454	6760
63	460	6741
64	467	6731
65	475	6722
66	482	6717
67	489	6705
68	495	6691
69	502	6678
70	510	6673
71	517	6674
72	524	6658
73	530	6644
74	538	6642
75	545	6629
76	551	6613
77	558	6606
78	564	6586
79	572	6578
80	578	6559
81	584	6539
82	591	6529
83	597	6518
84	603	6498
85	610	6484
86	616	6466
87	623	6458
88	630	6451
89	636	6437
90	642	6419
91	649	6406
92	655	6396
93	662	6387
94	668	6367
95	674	6349
96	680	6331
97	686	6315
98	692	6301
99	698	6284
100	704	6267
101	710	6257
102	717	6244
103	722	6228
104	729	6215
105	735	6201
106	742	6193
107	748	6184
108	754	6168
109	760	6153
110	767	6145
111	774	6143
112	780	6127
113	787	6120
114	794	6113
115	801	6110
116	808	6104
117	815	6096
118	822	6087
119	828	6077
120	835	6068
121	842	6059
122	850	6062
123	858	6061
124	869	6084
125	879	6097
126	887	6102
127	896	6109
128	904	6108
129	912	6109
130	919	6102
131	929	6109
132	937	6111
133	945	6109
134	953	6110
135	962	6115
136	969	6105
137	975	6095
138	983	6091
139	990	6085
140	997	6074
141	1003	6063
142	1009	6049
143	1016	6042
144	1023	6033
145	1029	6019
146	1035	6007
147	1041	5994
148	1047	5980
149	1052	5966
150	1058	5952
151	1064	5938
152	1070	5927
153	1076	5914
154	1082	5901
155	1089	5892
156	1095	5882
157	1101	5872
158	1108	5865
159	1114	5853
160	1121	5842
161	1127	5833
162	1134	5824
163	1140	5812
164	1146	5802
165	1152	5790
166	1159	5782
167	1165	5770
168	1171	5759
169	1177	5747
170	1183	5736
171	1189	5723
172	1194	5711
173	1200	5700
174	1207	5690
175	1212	5678
176	1219	5669
177	1225	5658
178	1231	5648
179	1237	5637
180	1244	5629
181	1250	5619
182	1256	5608
183	1262	5597
184	1268	5586
185	1275	5580
186	1282	5575
187	1288	5564
188	1294	5555
189	1300	5546
190	1306	5535
191	1314	5530
192	1320	5519
193	1326	5510
194	1331	5498
195	1337	5488
196	1343	5477
197	1349	5466
198	1355	5457
199	1362	5449
200	1368	5439
201	1374	5429
202	1380	5418
203	1386	5408
204	1393	5405
205	1400	5397
206	1406	5389
207	1413	5382
208	1420	5375
209	1426	5368
210	1433	5361
211	1440	5354
212	1448	5350
213	1454	5341
214	1460	5331
215	1466	5321
216	1471	5310
217	1478	5302
218	1483	5291
219	1490	5283
220	1496	5274
221	1502	5264
222	1508	5255
223	1513	5244
224	1520	5236
225	1526	5226
