iter	Passed	Remaining
0	4	4344
1	8	4245
2	12	4262
3	16	4126
4	20	4060
5	24	4012
6	28	4043
7	32	4014
8	36	4025
9	40	4004
10	44	4019
11	48	3981
12	51	3938
13	55	3897
14	58	3873
15	62	3842
16	65	3814
17	69	3784
18	72	3764
19	76	3739
20	79	3714
21	83	3690
22	86	3666
23	90	3669
24	93	3664
25	98	3687
26	102	3702
27	106	3707
28	110	3694
29	113	3680
30	117	3665
31	120	3653
32	124	3641
33	127	3632
34	131	3617
35	134	3606
36	138	3593
37	141	3581
38	144	3572
39	148	3570
40	152	3567
41	156	3562
42	159	3552
43	163	3542
44	166	3534
45	170	3529
46	173	3521
47	177	3520
48	182	3543
49	186	3551
50	191	3564
51	195	3570
52	199	3564
53	203	3556
54	206	3554
55	210	3549
56	214	3546
57	217	3540
58	221	3531
59	224	3523
60	228	3523
61	232	3519
62	236	3514
63	240	3512
64	244	3523
65	249	3527
66	253	3525
67	257	3528
68	261	3533
69	266	3535
70	270	3535
71	276	3565
72	281	3574
73	286	3591
74	292	3602
75	296	3601
76	300	3598
77	304	3601
78	308	3602
79	313	3600
80	317	3601
81	321	3601
82	326	3601
83	330	3599
84	334	3604
85	339	3611
86	344	3610
87	348	3613
88	353	3615
89	357	3617
90	362	3619
91	366	3618
92	370	3615
93	374	3614
94	379	3616
95	383	3611
96	387	3606
97	392	3608
98	396	3608
99	400	3603
100	404	3599
101	408	3600
102	413	3599
103	417	3601
104	421	3596
105	426	3594
106	430	3592
107	434	3588
108	438	3585
109	442	3583
110	446	3578
111	450	3574
112	455	3572
113	459	3568
114	463	3563
115	466	3557
116	470	3549
117	473	3541
118	477	3532
119	480	3524
120	483	3515
121	487	3506
122	490	3498
123	494	3491
124	497	3482
125	500	3474
126	504	3466
127	507	3459
128	511	3451
129	514	3444
130	518	3437
131	521	3432
132	525	3424
133	528	3416
134	532	3410
135	535	3403
136	539	3396
137	542	3389
138	546	3384
139	549	3376
140	553	3369
141	556	3362
142	559	3354
143	563	3348
144	566	3341
145	569	3333
146	573	3326
147	576	3321
148	581	3320
149	585	3320
150	590	3319
151	594	3318
152	599	3317
153	603	3315
154	608	3317
155	613	3319
156	618	3319
157	622	3319
158	627	3319
159	632	3319
160	636	3319
161	641	3316
162	645	3314
163	649	3312
164	654	3310
165	658	3309
166	663	3308
167	667	3307
168	672	3304
169	676	3304
170	681	3301
171	686	3302
172	690	3302
173	695	3299
174	699	3296
175	703	3295
176	708	3293
177	713	3293
178	717	3291
179	722	3291
180	726	3286
181	730	3282
182	733	3276
183	737	3271
184	741	3265
185	745	3261
186	749	3259
187	753	3255
188	758	3254
189	762	3248
190	765	3243
191	769	3238
192	772	3231
193	776	3227
194	780	3221
195	783	3214
196	787	3208
197	791	3204
198	794	3199
199	798	3194
200	802	3189
201	806	3185
202	810	3181
203	813	3175
204	817	3170
205	821	3166
206	825	3161
207	828	3155
208	832	3151
209	836	3145
210	840	3141
211	844	3138
212	848	3135
213	852	3131
