iter	Logloss
0	0.6689532415
1	0.6496536854
2	0.6333707596
3	0.618606383
4	0.6046902291
5	0.5956665684
6	0.5875682082
7	0.5805291121
8	0.5741632928
9	0.5682706804
10	0.5636319624
11	0.5581425324
12	0.5542592858
13	0.5515164378
14	0.5488278484
15	0.5467257773
16	0.543751973
17	0.5402936215
18	0.5388334338
19	0.5372566154
20	0.5354659435
21	0.5343749631
22	0.5327230955
23	0.5320169962
24	0.5312005357
25	0.5302608986
26	0.5291663686
27	0.5279563143
28	0.5269592838
29	0.5262672447
30	0.5253202778
31	0.5245859198
32	0.5238888098
33	0.5231189094
34	0.5227764395
35	0.5224040052
36	0.5215656937
37	0.5211844545
38	0.5207698396
39	0.5202638102
40	0.5198423265
41	0.5195593243
42	0.5190093164
43	0.5184344611
44	0.5179410168
45	0.5175777562
46	0.517216985
47	0.5167631858
48	0.5163752161
49	0.5160474979
50	0.515595681
51	0.5153183029
52	0.5150129889
53	0.5144703107
54	0.5142630955
55	0.5139192887
56	0.5137138712
57	0.5133678517
58	0.5132070121
59	0.5129847224
60	0.5126194795
61	0.5122263007
62	0.5119522878
63	0.5116503851
64	0.5112472949
65	0.5109014137
66	0.5107621945
67	0.5104929299
68	0.5102422893
69	0.5099764821
70	0.5097503201
71	0.50956786
72	0.5093070315
73	0.5090921177
74	0.5089066151
75	0.5087184387
76	0.5085409574
77	0.5084428586
78	0.5082625651
79	0.5080898319
80	0.5078125
81	0.5075558204
82	0.5074033247
83	0.5072856338
84	0.5070957057
85	0.506897618
86	0.5068114589
87	0.5065055916
88	0.5062978693
89	0.5061500757
90	0.5060011296
91	0.5057367054
92	0.5053479059
93	0.5048723019
94	0.5046943595
95	0.5043836058
96	0.5041245752
97	0.5039628596
98	0.5036642299
99	0.5034494083
100	0.5031436332
101	0.5028385958
102	0.5025654588
103	0.5023503145
104	0.5021425921
105	0.5019565824
106	0.5017245659
107	0.5015678291
108	0.5013333692
109	0.5011399837
110	0.5008564283
111	0.500506767
112	0.5002656228
113	0.5000242481
114	0.4997764196
115	0.4995284988
116	0.4992451279
117	0.4990224694
118	0.4987261447
119	0.4985617093
120	0.498333058
121	0.4980140064
122	0.4977780714
123	0.4975223599
124	0.4973285133
125	0.4970371673
126	0.4968456718
127	0.4966244424
128	0.4961792177
129	0.4958188152
130	0.4955990149
131	0.4953341297
132	0.4950242057
133	0.4948440967
134	0.4945977433
135	0.4943038618
136	0.4939976257
137	0.4938227259
138	0.4936428012
139	0.4934349867
140	0.4932104382
141	0.4931630483
142	0.492872025
143	0.4923900593
144	0.4921129117
145	0.4917578107
146	0.4915649783
147	0.4912736783
148	0.4911168954
149	0.4907451526
150	0.4905417635
151	0.4902873428
152	0.4899904188
153	0.4897550831
154	0.4896028179
155	0.489318986
156	0.4890600475
157	0.4888657861
158	0.4885995179
159	0.4884066394
160	0.4883317746
161	0.4878848442
162	0.487624154
163	0.4873447476
164	0.4871219508
165	0.4868959271
166	0.4866167973
167	0.486415621
168	0.486192686
169	0.4859355454
170	0.4856569227
171	0.4855174269
172	0.4853924985
173	0.4851967619
174	0.4851910917
175	0.4850289152
176	0.4848156609
177	0.4846870906
178	0.4844979462
179	0.4843258123
180	0.4842049867
181	0.4840311932
182	0.4838576763
183	0.4835673906
184	0.483391246
185	0.4832396723
186	0.483001248
187	0.4827515755
188	0.4825143036
189	0.4822915991
190	0.4819980402
191	0.4818344808
192	0.4815915387
193	0.4814387664
194	0.4813441712
195	0.4810040523
196	0.4808652941
197	0.4806502881
198	0.4804415516
199	0.4802033116
200	0.4799810219
201	0.4797708102
202	0.4795355206
203	0.4792832205
204	0.4790658634
205	0.478870219
206	0.4787038014
207	0.4785710361
208	0.478546327
209	0.4783889448
