iter	Passed	Remaining
0	1	1964
1	4	2103
2	6	2153
3	8	2093
4	10	2107
5	12	2065
6	14	2047
7	16	2038
8	18	2033
9	20	2018
10	22	2012
11	24	2010
12	26	2017
13	28	2020
14	30	2013
15	32	2010
16	34	2005
17	36	2010
18	38	2004
19	40	1996
20	43	2006
21	44	1994
22	46	1992
23	48	1992
24	50	1985
25	52	1979
26	54	1975
27	56	1975
28	59	1980
29	61	1975
30	63	1980
31	65	1975
32	67	1971
33	69	1979
34	71	1973
35	73	1978
36	76	1979
37	77	1973
38	79	1968
39	81	1962
40	83	1963
41	86	1965
42	88	1964
43	90	1962
44	92	1962
45	94	1958
46	96	1958
47	98	1961
48	101	1961
49	103	1968
50	106	1972
51	108	1976
52	110	1978
53	113	1983
54	115	1991
55	118	1995
56	120	1997
57	123	2004
58	125	2006
59	128	2010
60	130	2009
61	133	2014
62	135	2012
63	137	2012
64	140	2015
65	142	2017
66	144	2014
67	146	2009
68	148	2007
69	150	2004
70	153	2001
71	155	1998
72	157	1998
73	159	1997
74	161	1997
75	163	1991
76	166	1989
77	168	1987
78	170	1982
79	172	1983
80	174	1982
81	177	1982
82	179	1980
83	181	1978
84	183	1976
85	185	1971
86	187	1972
87	190	1972
88	192	1970
89	194	1968
90	196	1967
91	199	1964
92	200	1959
93	202	1954
94	204	1952
95	207	1950
96	209	1949
97	211	1944
98	213	1943
99	215	1941
100	218	1940
101	220	1941
102	222	1941
103	225	1940
104	227	1937
105	229	1936
106	231	1935
107	234	1933
108	236	1929
109	238	1927
110	240	1924
111	242	1920
112	244	1919
113	246	1917
114	249	1917
115	251	1916
116	253	1914
117	255	1911
118	258	1910
119	260	1908
120	262	1907
121	264	1904
122	266	1902
123	268	1900
124	271	1897
125	272	1892
126	275	1892
127	277	1890
128	279	1886
129	281	1885
130	283	1883
131	285	1880
132	288	1878
133	290	1876
134	292	1873
135	294	1870
136	296	1866
137	298	1864
138	300	1862
139	302	1859
140	304	1857
141	307	1856
142	309	1857
143	312	1855
144	314	1852
145	316	1851
146	318	1849
147	320	1847
148	323	1845
149	325	1843
150	327	1841
151	329	1838
152	331	1836
153	333	1833
154	336	1832
155	338	1830
156	340	1828
157	342	1826
158	344	1824
159	347	1822
160	349	1820
161	351	1816
162	353	1815
163	355	1814
164	358	1812
165	360	1812
166	363	1811
167	365	1810
168	368	1810
169	370	1807
170	372	1806
171	374	1804
172	377	1802
173	379	1800
174	381	1799
175	384	1797
176	386	1797
177	389	1796
178	391	1795
179	393	1794
180	396	1792
181	398	1790
182	400	1787
183	402	1783
184	404	1781
185	406	1779
186	408	1776
187	410	1774
188	413	1772
189	415	1770
190	417	1768
191	419	1764
192	421	1763
193	423	1760
194	425	1758
195	428	1756
196	430	1753
197	432	1751
198	434	1749
199	436	1746
200	438	1743
201	440	1741
202	442	1738
203	444	1736
204	446	1732
205	448	1730
206	452	1732
207	454	1731
208	456	1729
209	459	1727
210	461	1725
211	463	1723
212	465	1721
213	468	1719
214	470	1717
215	472	1714
216	474	1712
217	476	1710
